   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
 500,        120888,           59948,            113,     15613,        1417,         33,            124750,                 488,                165,        20286,           4038,            59
 501,        121290,           60148,             78,     16280,        1432,         33,            125250,                 494,                148,        20409,           4064,            44
 502,        122274,           60639,             79,     17051,        1374,         33,            125751,                 496,                145,        20427,           4067,            44
 503,        122364,           60683,             99,     16284,        1402,         47,            126253,                 496,                165,        20522,           4089,            45
 504,        122970,           60985,             82,     16690,        1425,         36,            126756,                 498,                154,        20526,           4088,            45
 505,        123172,           61085,             82,     17351,        1402,         34,            127260,                 500,                155,        20597,           4102,            78
 506,        123890,           61443,             97,     16319,        1397,         35,            127765,                 500,                158,        20599,           4099,            47
 507,        124596,           61795,             84,     16149,        1419,         35,            128271,                 501,                159,        20623,           4107,            47
 508,        125376,           62184,             85,     16183,        1427,         35,            128778,                 501,                176,        20693,           4121,            48
 509,        126052,           62521,             88,     16381,        1435,         36,            129286,                 500,                152,        20786,           4138,            48
 510,        126536,           62762,             88,     15970,        1445,         36,            129795,                 503,                166,        20800,           4141,            48
 511,        126588,           62787,            104,     17353,        1413,         38,            130305,                 504,                171,        20807,           4142,            49
 512,        127294,           63139,             91,     16031,        1450,         38,            130816,                 505,                160,        21001,           4190,            50
 513,        128238,           63610,             92,     16354,        1450,         38,            131328,                 504,                186,        20996,           4183,            51
 514,        128272,           63626,             94,     16776,        1447,         40,            131841,                 506,                178,        21014,           4183,            52
 515,        128828,           63903,             95,     15977,        1462,         39,            132355,                 508,                178,        21077,           4197,            73
 516,        129736,           64356,             97,     16909,        1449,         41,            132870,                 504,                214,        21114,           4203,            48
 517,        130578,           64776,             99,     16096,        1483,         40,            133386,                 505,                185,        21114,           4199,            48
 518,        131056,           65014,            112,     16841,        1495,         39,            133903,                 509,                179,        21176,           4211,            46
 519,        131272,           65121,             97,     17293,        1451,         39,            134421,                 511,                182,        21202,           4217,            47
 520,        132040,           65504,             97,     16470,        1481,         39,            134940,                 512,                196,        21279,           4235,            45
 521,        133034,           66000,             96,     16928,        1474,         39,            135460,                 517,                179,        21322,           4248,            46
 522,        133302,           66133,            119,     17223,        1459,         55,            135981,                 515,                186,        21405,           4262,            47
 523,        134136,           66549,             99,     16838,        1488,         42,            136503,                 517,                189,        21415,           4264,            47
 524,        134306,           66633,             99,     16909,        1495,         40,            137026,                 517,                184,        21500,           4281,            61
 525,        134442,           66700,            102,     16472,        1475,         42,            137550,                 517,                190,        21534,           4289,            49
 526,        135030,           66993,            102,     16981,        1488,         42,            138075,                 520,                190,        21643,           4315,            49
 527,        135992,           67473,            119,     17362,        1455,         41,            138601,                 519,                221,        21589,           4298,            51
 528,        136452,           67702,            107,     16612,        1500,         46,            139128,                 519,                269,        21691,           4317,            51
 529,        136914,           67932,            124,     16615,        1508,         47,            139656,                 519,                206,        21757,           4331,            53
 530,        137280,           68114,            110,     16613,        1505,         45,            140185,                 523,                206,        21809,           4343,            53
 531,        138284,           68615,            128,     17396,        1521,         46,            140715,                 523,                215,        21774,           4329,            53
 532,        139010,           68977,            116,     17469,        1518,         46,            141246,                 525,                215,        21909,           4365,            54
 533,        139844,           69393,            127,     17064,        1516,         45,            141778,                 526,                214,        21953,           4374,            56
 534,        140166,           69553,            113,     16922,        1534,         45,            142311,                 526,                248,        22007,           4385,            73
 535,        141188,           70063,            110,     18331,        1514,         45,            142845,                 527,                203,        22066,           4399,            51
 536,        141408,           70172,            109,     16635,        1546,         44,            143380,                 532,                205,        22052,           4390,            51
 537,        141422,           70178,            124,     17829,        1540,         43,            143916,                 530,                204,        22159,           4414,            52
 538,        141734,           70333,            111,     17821,        1525,         42,            144453,                 532,                198,        22222,           4426,            50
 539,        142628,           70779,            120,     17786,        1549,         41,            144991,                 530,                195,        22288,           4442,            48
 540,        143108,           71018,            110,     17090,        1561,         41,            145530,                 530,                195,        22312,           4444,            49
 541,        143386,           71156,            105,     17207,        1545,         54,            146070,                 535,                189,        22330,           4450,            47
 542,        144150,           71537,            103,     17399,        1524,         40,            146611,                 537,                186,        22419,           4465,            47
 543,        145108,           72015,            103,     17068,        1534,         41,            147153,                 538,                202,        22497,           4483,            46
 544,        145326,           72123,            167,     17646,        1536,         36,            147696,                 533,                173,        22500,           4480,            43
 545,        146038,           72478,            114,     17651,        1559,         40,            148240,                 539,                201,        22552,           4493,            45
 546,        146760,           72838,             99,     17901,        1564,         38,            148785,                 537,                185,        22609,           4500,            45
 547,        146790,           72852,             99,     18130,        1565,         39,            149331,                 541,                180,        22646,           4509,            45
 548,        146804,           72858,            126,     18531,        1577,         39,            149878,                 541,                180,        22733,           4530,            44
 549,        147652,           73281,             97,     17714,        1581,         38,            150426,                 541,                180,        22728,           4527,            44
 550,        148042,           73475,             97,     17841,        1572,         53,            150975,                 541,                176,        22766,           4536,            43
 551,        148588,           73747,             95,     17595,        1575,         37,            151525,                 541,                175,        22807,           4540,            43
 552,        148748,           73826,             95,     17876,        1560,         37,            152076,                 544,                177,        22910,           4568,            43
 553,        149134,           74018,             96,     17479,        1598,         37,            152628,                 544,                177,        22976,           4584,            44
 554,        149834,           74367,             96,     17744,        1569,         37,            153181,                 545,                180,        22965,           4570,            43
 555,        150798,           74848,             97,     18323,        1584,         37,            153735,                 549,                180,        22957,           4567,            44
 556,        151158,           75027,             97,     17811,        1589,         37,            154290,                 547,                265,        23085,           4594,            62
 557,        152244,           75569,             98,     19149,        1576,         38,            154846,                 548,                181,        23143,           4613,            44
 558,        152264,           75578,             97,     18612,        1585,         38,            155403,                 547,                181,        23186,           4622,            44
 559,        153368,           76129,             98,     18617,        1618,         38,            155961,                 548,                184,        23172,           4613,            44
 560,        153732,           76310,             98,     17742,        1616,         37,            156520,                 556,                180,        23252,           4632,            73
 561,        154140,           76513,             99,     17572,        1601,         38,            157080,                 553,                187,        23359,           4657,            56
 562,        154408,           76646,            105,     18217,        1627,         39,            157641,                 549,                269,        23399,           4669,            64
 563,        154966,           76924,            144,     18410,        1628,         39,            158203,                 554,                185,        23316,           4641,            45
 564,        155798,           77339,            100,     18412,        1612,         37,            158766,                 555,                186,        23511,           4686,            45
 565,        156864,           77871,            101,     18638,        1626,         37,            159330,                 559,                243,        23465,           4671,           109
 566,        156936,           77906,             99,     18812,        1643,         39,            159895,                 561,                188,        23520,           4685,            45
 567,        157390,           78132,            101,     17861,        1650,         39,            160461,                 562,                180,        23589,           4701,            45
 568,        157476,           78174,            101,     19603,        1599,         38,            161028,                 560,                187,        23584,           4696,            45
 569,        158502,           78686,            102,     19642,        1601,         38,            161596,                 564,                188,        23750,           4730,            46
 570,        158972,           78920,            102,     17786,        1648,         39,            162165,                 563,                193,        23815,           4744,            46
 571,        159842,           79354,            103,     18262,        1643,         38,            162735,                 561,                190,        23808,           4747,            45
 572,        160888,           79876,            103,     18967,        1625,         38,            163306,                 561,                192,        23858,           4755,            45
 573,        161604,           80233,            104,     18700,        1617,         39,            163878,                 568,                191,        24001,           4790,            45
 574,        162648,           80754,            104,     19262,        1629,         40,            164451,                 566,                192,        23953,           4770,            46
 575,        163564,           81211,            105,     18451,        1641,         38,            165025,                 563,                194,        23950,           4771,            45
 576,        164312,           81584,            105,     17856,        1670,         38,            165600,                 567,                193,        24069,           4797,            45
 577,        165346,           82100,            105,     19293,        1642,         39,            166176,                 571,                194,        24192,           4822,            45
 578,        166334,           82593,            106,     19252,        1620,         39,            166753,                 570,                264,        24112,           4799,            47
 579,        166382,           82616,            146,     19234,        1663,         41,            167331,                 572,                357,        24195,           4813,            46
 580,        167092,           82970,            107,     19235,        1659,         41,            167910,                 573,                282,        24250,           4829,            46
 581,        167608,           83227,            107,     18531,        1678,         40,            168490,                 575,                220,        24267,           4832,            68
 582,        168728,           83786,            146,     20757,        1659,         40,            169071,                 571,                198,        24307,           4841,            46
 583,        169302,           84072,            108,     19202,        1680,         39,            169653,                 577,                198,        24374,           4856,            46
 584,        169326,           84083,            150,     21169,        1645,         41,            170236,                 577,                197,        24406,           4860,            46
 585,        169664,           84251,            108,     18585,        1707,         39,            170820,                 576,                198,        24450,           4868,            47
 586,        170772,           84804,            109,     20179,        1678,         40,            171405,                 573,                199,        24564,           4895,            47
 587,        171132,           84983,            109,     18705,        1714,         38,            171991,                 578,                199,        24608,           4904,            47
 588,        171744,           85288,            151,     18598,        1715,         39,            172578,                 579,                201,        24642,           4907,            47
 589,        171934,           85382,            110,     19370,        1689,         81,            173166,                 582,                337,        24764,           4936,            49
 590,        173096,           85962,            162,     20940,        1659,         45,            173755,                 583,                273,        24788,           4942,            65
 591,        173784,           86305,            113,     19571,        1722,         41,            174345,                 584,                203,        24863,           4955,            47
 592,        174874,           86849,            110,     19795,        1673,         40,            174936,                 586,                210,        24869,           4953,            47
 593,        176046,           87434,            112,     20092,        1688,         41,            175528,                 583,                328,        24856,           4950,            91
 594,        177220,           88020,            133,     20038,        1710,         42,            176121,                 586,                254,        24991,           4979,            48
 595,        177702,           88260,            113,     20241,        1736,         41,            176715,                 590,                205,        24974,           4975,            48
 596,        178190,           88503,            114,     19407,        1736,         40,            177310,                 590,                205,        25091,           5001,            48
 597,        179090,           88952,            114,     18699,        1713,         40,            177906,                 587,                206,        25129,           5011,            48
 598,        179218,           89015,            114,     20864,        1715,         40,            178503,                 590,                205,        25143,           5007,            48
 599,        180298,           89554,            116,     19752,        1746,         41,            179101,                 591,                207,        25195,           5015,            48
 600,        180676,           89742,            116,     19936,        1729,         40,            179700,                 592,                209,        25309,           5044,            49
 601,        180912,           89859,            116,     19995,        1757,         41,            180300,                 594,                212,        25287,           5034,            49
 602,        182014,           90409,            117,     21050,        1726,         41,            180901,                 594,                220,        25393,           5059,            49
 603,        182344,           90573,            117,     20499,        1754,         42,            181503,                 597,                211,        25338,           5045,            48
 604,        183070,           90935,            117,     20286,        1748,         41,            182106,                 596,                213,        25439,           5070,            48
 605,        183256,           91027,            117,     19314,        1750,         41,            182710,                 601,                208,        25595,           5102,            49
 606,        183974,           91385,            118,     19482,        1793,         41,            183315,                 599,                213,        25579,           5097,            49
 607,        184144,           91469,            118,     20157,        1743,         41,            183921,                 599,                211,        25644,           5110,            49
 608,        184724,           91758,            118,     19741,        1760,         41,            184528,                 600,                213,        25589,           5099,            49
 609,        185696,           92243,            118,     21092,        1715,         40,            185136,                 604,                234,        25704,           5123,            49
 610,        186264,           92526,            119,     19734,        1789,         41,            185745,                 598,                216,        25776,           5136,            49
 611,        187050,           92918,            119,     19283,        1763,         41,            186355,                 596,                315,        25787,           5138,            49
 612,        187978,           93381,            155,     19839,        1760,         86,            186966,                 608,                215,        25878,           5160,            50
 613,        189074,           93928,            118,     19972,        1800,         42,            187578,                 603,                218,        25856,           5145,            49
 614,        189614,           94197,            121,     20160,        1773,         42,            188191,                 607,                218,        25842,           5143,            50
 615,        190160,           94469,            121,     19468,        1781,         43,            188805,                 607,                219,        25976,           5176,            51
 616,        190926,           94851,            122,     20227,        1783,         44,            189420,                 605,                219,        26047,           5186,            50
 617,        192048,           95411,            122,     20177,        1797,         43,            190036,                 609,                211,        26183,           5220,            50
 618,        192870,           95821,            123,     20173,        1770,         42,            190653,                 611,                220,        26018,           5173,            66
 619,        193276,           96023,            196,     19889,        1802,         62,            191271,                 609,                379,        26208,           5222,            88
 620,        193298,           96033,            291,     21076,        1767,         63,            191890,                 613,                372,        26285,           5237,            99
 621,        193942,           96354,            124,     19839,        1812,         45,            192510,                 613,                223,        26265,           5231,            50
 622,        194134,           96449,            124,     20649,        1804,         78,            193131,                 617,                259,        26237,           5219,            50
 623,        195028,           96895,            124,     20724,        1799,         78,            193753,                 617,                244,        26312,           5237,           108
 624,        195398,           97079,            151,     19939,        1845,         68,            194376,                 618,                265,        26411,           5264,            52
 625,        196300,           97529,            129,     20352,        1813,         44,            195000,                 618,                268,        26516,           5284,            70
 626,        197368,           98062,            126,     20862,        1820,         45,            195625,                 618,                286,        26513,           5280,            53
 627,        197522,           98138,            127,     20631,        1829,         43,            196251,                 622,                271,        26587,           5299,            75
 628,        197708,           98230,            152,     22667,        1780,         62,            196878,                 620,                226,        26596,           5291,            51
 629,        198358,           98554,            128,     20323,        1813,         43,            197506,                 622,                227,        26704,           5320,            51
 630,        199168,           98958,            127,     21311,        1831,         43,            198135,                 622,                228,        26692,           5316,            51
 631,        199922,           99334,            127,     20908,        1846,         43,            198765,                 621,                229,        26781,           5337,            51
 632,        200226,           99485,            128,     21795,        1822,         43,            199396,                 627,                230,        26821,           5342,            51
 633,        200868,           99805,            128,     21362,        1833,         44,            200028,                 625,                230,        26881,           5359,            51
 634,        201840,          100290,            129,     20260,        1836,         43,            200661,                 631,                232,        26894,           5355,            51
 635,        202228,          100483,            129,     21251,        1866,         43,            201295,                 625,                232,        26922,           5359,            52
 636,        203308,          101022,            129,     21048,        1846,         43,            201930,                 625,                232,        27047,           5389,            52
 637,        203536,          101135,            130,     21670,        1833,         43,            202566,                 629,                233,        27074,           5395,            52
 638,        204138,          101435,            130,     20995,        1860,         43,            203203,                 628,                234,        27153,           5412,            52
 639,        205094,          101912,            131,     21328,        1857,         44,            203841,                 630,                235,        27085,           5389,            52
 640,        205266,          101997,            131,     21046,        1833,         44,            204480,                 631,                236,        27142,           5402,            52
 641,        205752,          102239,            131,     21442,        1843,         46,            205120,                 634,                268,        27252,           5427,            53
 642,        206554,          102639,            132,     22066,        1864,         47,            205761,                 636,                238,        27304,           5439,            52
 643,        207270,          102996,            132,     21657,        1880,         45,            206403,                 635,                237,        27433,           5471,            53
 644,        207314,          103017,            132,     22619,        1859,         43,            207046,                 632,                238,        27518,           5489,            52
 645,        207446,          103082,            132,     21879,        1904,         44,            207690,                 633,                239,        27524,           5489,            52
 646,        208314,          103515,            132,     20821,        1883,         44,            208335,                 640,                239,        27538,           5486,            53
 647,        209516,          104115,            133,     22907,        1840,         43,            208981,                 636,                239,        27608,           5501,            52
 648,        210046,          104379,            182,     22505,        1859,         67,            209628,                 639,                238,        27696,           5523,            53
 649,        210682,          104696,            134,     22159,        1913,         45,            210276,                 641,                243,        27658,           5507,            54
 650,        210696,          104702,            134,     22889,        1905,         44,            210925,                 645,                243,        27700,           5516,            53
 651,        211486,          105096,            137,     22388,        1863,         44,            211575,                 647,                244,        27698,           5506,            74
 652,        212086,          105395,            185,     21748,        1911,         45,            212226,                 643,                244,        27873,           5555,            53
 653,        212990,          105846,            135,     21596,        1927,         44,            212878,                 646,                244,        27947,           5570,            55
 654,        213136,          105918,            136,     21646,        1899,         44,            213531,                 645,                361,        27939,           5568,           116
 655,        213472,          106085,            223,     22330,        1932,         50,            214185,                 651,                332,        27956,           5570,            82
 656,        214666,          106681,            159,     22337,        1915,         49,            214840,                 652,                342,        28025,           5581,           126
 657,        215518,          107106,            156,     21751,        1944,         47,            215496,                 643,                248,        28056,           5588,            54
 658,        216032,          107362,            137,     21486,        1933,         45,            216153,                 648,                248,        28147,           5606,            53
 659,        216440,          107565,            137,     21844,        1895,         45,            216811,                 648,                276,        28220,           5620,            54
 660,        216914,          107801,            175,     22629,        1899,         45,            217470,                 649,                246,        28179,           5613,            54
 661,        217120,          107903,            140,     22862,        1898,         45,            218130,                 648,                248,        28245,           5621,            54
 662,        217542,          108113,            138,     23088,        1900,         45,            218791,                 650,                251,        28249,           5620,            55
 663,        218446,          108564,            139,     21555,        1962,         45,            219453,                 655,                251,        28363,           5650,            54
 664,        218522,          108601,            139,     22691,        1920,         45,            220116,                 657,                252,        28418,           5659,            54
 665,        218728,          108703,            138,     22616,        1926,         45,            220780,                 658,                254,        28453,           5665,            54
 666,        219686,          109181,            139,     23377,        1935,         46,            221445,                 657,                253,        28509,           5676,            54
 667,        219904,          109289,            140,     22955,        1961,         46,            222111,                 654,                254,        28576,           5691,            54
 668,        220266,          109469,            140,     22262,        1962,         46,            222778,                 660,                254,        28589,           5691,            54
 669,        221470,          110070,            140,     22683,        1901,         45,            223446,                 661,                284,        28486,           5663,           105
 670,        221744,          110206,            141,     22525,        1961,         46,            224115,                 662,                257,        28714,           5717,            55
 671,        222494,          110580,            141,     22593,        1977,         46,            224785,                 662,                260,        28695,           5709,            59
 672,        223240,          110952,            142,     22093,        2007,         47,            225456,                 661,                258,        28810,           5735,            55
 673,        223482,          111072,            142,     23095,        1973,         46,            226128,                 663,                259,        28855,           5745,            55
 674,        223552,          111106,            234,     24093,        1931,         67,            226801,                 666,                318,        28859,           5743,            70
 675,        223554,          111106,            213,     25449,        1933,         47,            227475,                 668,                260,        28909,           5750,            55
 676,        224260,          111458,            180,     22743,        1978,         47,            228150,                 668,                253,        28959,           5766,            57
 677,        224596,          111625,            143,     23448,        1992,         47,            228826,                 665,                323,        28960,           5760,            56
 678,        224750,          111701,            143,     23697,        1969,         46,            229503,                 670,                263,        29103,           5796,            61
 679,        225596,          112123,            255,     23524,        1964,         47,            230181,                 672,                383,        29127,           5801,            56
 680,        226848,          112748,            145,     23016,        1986,         49,            230860,                 672,                267,        29244,           5823,            55
 681,        227932,          113289,            146,     23385,        1989,         47,            231540,                 670,                261,        29155,           5797,           148
 682,        228150,          113397,            248,     22672,        2017,         50,            232221,                 679,                334,        29241,           5822,            56
 683,        229284,          113963,            211,     22246,        2004,         98,            232903,                 676,                311,        29287,           5823,            57
 684,        229530,          114085,            155,     23319,        1971,         47,            233586,                 678,                267,        29419,           5860,            57
 685,        229912,          114275,            146,     24478,        2000,         47,            234270,                 679,                268,        29445,           5864,            56
 686,        230196,          114416,            146,     24390,        1995,         47,            234955,                 677,                270,        29423,           5860,            65
 687,        231030,          114832,            200,     22862,        2043,         83,            235641,                 678,                449,        29514,           5874,            60
 688,        231742,          115187,            155,     23238,        2027,         77,            236328,                 678,                473,        29582,           5888,            95
 689,        231776,          115203,            215,     23479,        2010,         49,            237016,                 681,                270,        29604,           5893,            57
 690,        231932,          115280,            148,     24056,        2031,         48,            237705,                 681,                306,        29622,           5897,            78
 691,        233068,          115847,            148,     23418,        2025,         47,            238395,                 682,                269,        29762,           5926,            58
 692,        233260,          115942,            149,     23698,        1993,         48,            239086,                 688,                274,        29785,           5930,            57
 693,        234468,          116545,            149,     22873,        2031,         47,            239778,                 687,                274,        29833,           5935,            57
 694,        235298,          116959,            149,     22871,        2052,         48,            240471,                 684,                262,        29839,           5942,            56
 695,        235352,          116985,            149,     24804,        2020,         47,            241165,                 688,                272,        29800,           5931,            57
 696,        235464,          117040,            149,     24929,        2013,         47,            241860,                 692,                276,        29865,           5938,            59
 697,        236402,          117508,            150,     23561,        2033,         47,            242556,                 691,                274,        30026,           5978,            57
 698,        236664,          117638,            150,     23957,        2027,         47,            243253,                 691,                279,        30076,           5994,            57
 699,        237218,          117914,            150,     23839,        2046,         47,            243951,                 687,                279,        30080,           5985,            57
 700,        237422,          118015,            150,     23516,        2028,         48,            244650,                 692,                280,        30187,           6012,            57
 701,        237484,          118045,            151,     24349,        2034,         47,            245350,                 693,                280,        30209,           6012,            58
 702,        238210,          118407,            151,     23752,        2074,         49,            246051,                 693,                280,        30198,           6009,            57
 703,        238544,          118573,            151,     24820,        2018,         47,            246753,                 692,                363,        30323,           6037,            58
 704,        238996,          118798,            152,     23558,        2070,         52,            247456,                 695,                286,        30308,           6029,            58
 705,        240104,          119351,            153,     23218,        2059,         49,            248160,                 698,                283,        30354,           6040,            58
 706,        241108,          119852,            153,     23398,        2084,         48,            248865,                 701,                285,        30421,           6053,            58
 707,        242500,          120547,            222,     24713,        2029,         55,            249571,                 699,                282,        30464,           6063,            58
 708,        243740,          121166,            155,     24554,        2049,         82,            250278,                 700,                480,        30595,           6091,            79
 709,        243990,          121290,            225,     24757,        2053,         71,            250986,                 701,                301,        30575,           6084,            59
 710,        244162,          121375,            154,     23961,        2065,         49,            251695,                 706,                286,        30688,           6109,            59
 711,        244180,          121383,            154,     24446,        2089,         50,            252405,                 703,                287,        30747,           6119,            58
 712,        244230,          121407,            155,     25421,        2090,         50,            253116,                 705,                288,        30863,           6148,            59
 713,        244280,          121431,            155,     24040,        2131,         50,            253828,                 707,                289,        30898,           6157,            59
 714,        245284,          121932,            156,     23515,        2118,         49,            254541,                 707,                289,        30951,           6169,            59
 715,        246580,          122579,            156,     24067,        2107,         48,            255255,                 708,                286,        30978,           6171,            59
 716,        247378,          122977,            157,     23329,        2141,         50,            255970,                 706,                292,        31020,           6177,            59
 717,        248664,          123619,            157,     25147,        2103,         50,            256686,                 708,                293,        31062,           6186,            59
 718,        248888,          123730,            158,     24259,        2103,         50,            257403,                 708,                375,        31090,           6195,            61
 719,        249232,          123901,            339,     23947,        2076,         65,            258121,                 712,                363,        31180,           6210,            98
 720,        250376,          124472,            187,     23616,        2127,         51,            258840,                 711,                420,        31255,           6227,            60
 721,        251448,          125007,            164,     24337,        2108,         54,            259560,                 711,                297,        31214,           6214,            60
 722,        251624,          125094,            160,     25562,        2064,         49,            260281,                 710,                295,        31311,           6238,            59
 723,        252554,          125558,            160,     24899,        2101,         51,            261003,                 718,                297,        31311,           6229,            60
 724,        253066,          125813,            160,     24117,        2102,         49,            261726,                 718,                297,        31447,           6265,            60
 725,        254164,          126361,            161,     24539,        2125,         50,            262450,                 716,                295,        31455,           6261,            60
 726,        255228,          126892,            199,     24534,        2103,         49,            263175,                 715,                299,        31466,           6260,            60
 727,        255294,          126924,            161,     24778,        2136,         50,            263901,                 717,                300,        31587,           6290,            60
 728,        256612,          127582,            162,     24217,        2152,         50,            264628,                 717,                300,        31566,           6281,            60
 729,        257370,          127960,            163,     24342,        2169,         50,            265356,                 725,                301,        31679,           6314,            60
 730,        258458,          128503,            165,     25748,        2113,         49,            266085,                 721,                289,        31713,           6320,            60
 731,        258916,          128731,            164,     24850,        2181,         51,            266815,                 719,                277,        31788,           6331,            61
