   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
 232,         26686,           13114,             18,      6556,         603,         14,             26796,                 223,                 36,         8169,           1626,            20
 233,         26916,           13228,             18,      6526,         606,         15,             27028,                 226,                 36,         8172,           1624,            18
 234,         27164,           13351,             18,      6394,         603,         15,             27261,                 228,                 36,         8261,           1645,            18
 235,         27482,           13509,             19,      6315,         613,         14,             27495,                 227,                 37,         8295,           1653,            24
 236,         27860,           13697,             19,      6844,         591,         15,             27730,                 231,                 37,         8329,           1653,            17
 237,         28032,           13782,             19,      6487,         616,         15,             27966,                 231,                 37,         8375,           1666,            18
 238,         28064,           13797,             19,      6557,         618,         14,             28203,                 230,                 38,         8395,           1671,            18
 239,         28398,           13963,             19,      6721,         622,         15,             28441,                 231,                 35,         8451,           1683,            18
 240,         28400,           13963,             19,      7207,         624,         14,             28680,                 235,                 38,         8510,           1695,            18
 241,         28730,           14127,             19,      6844,         618,         15,             28920,                 235,                 38,         8535,           1697,            20
 242,         28762,           14142,             19,      6984,         613,         15,             29161,                 237,                 36,         8558,           1702,            18
 243,         29224,           14372,             20,      7351,         630,         16,             29403,                 238,                 39,         8536,           1694,            62
 244,         29424,           14471,             33,      6809,         651,         23,             29646,                 238,                 59,         8596,           1707,            38
 245,         29898,           14707,             39,      6960,         640,         16,             29890,                 239,                 40,         8665,           1723,            19
 246,         30214,           14864,             21,      7008,         637,         16,             30135,                 241,                 40,         8741,           1740,            19
 247,         30618,           15065,             21,      7063,         637,         15,             30381,                 238,                 41,         8742,           1735,            19
 248,         30828,           15169,             21,      7129,         646,         16,             30628,                 243,                 41,         8816,           1755,            20
 249,         30958,           15233,             21,      7121,         641,         16,             30876,                 243,                 41,         8836,           1755,            19
 250,         30984,           15245,             21,      7133,         652,         16,             31125,                 245,                 41,         8836,           1753,            19
 251,         31010,           15257,             21,      7640,         640,         20,             31375,                 247,                 41,         8933,           1775,            19
 252,         31246,           15374,             21,      6788,         680,         17,             31626,                 245,                 42,         8981,           1786,            19
